"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 10 12:02:54 UTC 2026","Tue Feb 10 12:02:54 UTC 2026","96","Surefire suite","Surefire test","org.greencity.ui.CreateNews.UploadImageTest","org.greencity.ui.CreateNews.UploadImageTest","imgUploadGIFNegative","imgUploadGIFNegative","The test checks validation error when uploading a GIF image (unsupported format)"
"passed","Tue Feb 10 11:59:59 UTC 2026","Tue Feb 10 12:00:00 UTC 2026","1102","Surefire suite","Surefire test","org.greencity.ui.TagSelectionTest","org.greencity.ui.TagSelectionTest","checkOneTagSelection","checkOneTagSelection",""
"passed","Tue Feb 10 11:58:36 UTC 2026","Tue Feb 10 11:58:36 UTC 2026","453","Surefire suite","Surefire test","org.greencity.ui.EditNews.EmptyTitleValidationTest","org.greencity.ui.EditNews.EmptyTitleValidationTest","verifyEmptyTitleField","verifyEmptyTitleField","Verify that the Edit News page disables the Edit button and highlights the title field when the title is empty, and enables the button when all required fields are valid"
"passed","Tue Feb 10 12:00:12 UTC 2026","Tue Feb 10 12:00:14 UTC 2026","1778","Surefire suite","Surefire test","org.greencity.ui.CreateNews.SourceValidationTest","org.greencity.ui.CreateNews.SourceValidationTest","SourceFieldNonValidValidation","SourceFieldNonValidValidation","Verify validation logic for invalid Source field and successful publish after correction"
"passed","Tue Feb 10 12:03:11 UTC 2026","Tue Feb 10 12:03:12 UTC 2026","1242","Surefire suite","Surefire test","org.greencity.ui.CreateNews.TitleValidationTest","org.greencity.ui.CreateNews.TitleValidationTest","verifyTitleFieldAndPublishButtonLogic","verifyTitleFieldAndPublishButtonLogic","Verify the validation of the title field"
"passed","Tue Feb 10 12:02:59 UTC 2026","Tue Feb 10 12:03:00 UTC 2026","250","Surefire suite","Surefire test","org.greencity.ui.CreateNews.UploadImageTest","org.greencity.ui.CreateNews.UploadImageTest","imgUploadPositive","imgUploadPositive","The test checks successful validation when uploading a valid PNG image"
"broken","Tue Feb 10 12:00:17 UTC 2026","Tue Feb 10 12:00:17 UTC 2026","1","Surefire suite","Surefire test","org.greencity.ui.CreateNews.SourceValidationTest","org.greencity.ui.CreateNews.SourceValidationTest","setUp","setUp",""
"passed","Tue Feb 10 12:02:41 UTC 2026","Tue Feb 10 12:02:42 UTC 2026","1107","Surefire suite","Surefire test","org.greencity.ui.CreateNews.ContentValidationTest","org.greencity.ui.CreateNews.ContentValidationTest","verifyContentValidationAndPublishButtonLogicValidContent","verifyContentValidationAndPublishButtonLogicValidContent","Verify that the publish button is enabled and the warning disappears when the content is valid"
"passed","Tue Feb 10 12:00:23 UTC 2026","Tue Feb 10 12:02:24 UTC 2026","120797","Surefire suite","Surefire test","org.greencity.ui.CreateNews.CancelCreatingTest","org.greencity.ui.CreateNews.CancelCreatingTest","testCancelButtonBehavior","testCancelButtonBehavior","Verify that clicking the Cancel button triggers a confirmation modal, and selecting 'Yes, cancel' closes the form and redirects to the EcoNews page"
"passed","Tue Feb 10 12:02:48 UTC 2026","Tue Feb 10 12:02:48 UTC 2026","373","Surefire suite","Surefire test","org.greencity.ui.CreateNews.ContentValidationTest","org.greencity.ui.CreateNews.ContentValidationTest","verifyTooShortContent","verifyTooShortContent","Verify that the content field validation fails for too short input and passes for valid content"
"passed","Tue Feb 10 12:02:36 UTC 2026","Tue Feb 10 12:02:36 UTC 2026","155","Surefire suite","Surefire test","org.greencity.ui.CreateNews.ContentValidationTest","org.greencity.ui.CreateNews.ContentValidationTest","verifyContentValidationAndPublishButtonLogic20","verifyContentValidationAndPublishButtonLogic20","Verify that the publish button is disabled and a warning is displayed when the content is shorter than 20 characters"
